wgiCat,EIN,Name,Subsector,Form,Year,Contributions,Revenue,Expenses,Assets,,,,,,,,,,,,,,,,
WART,61714258.000000,WOMEN AT WORK MUSEUM INC,"01) Arts, culture, and humanities",990EZ,2018,0,0,0,132
WART,271847569.000000,WOMEN ACTION & THE MEDIA CORP,"01) Arts, culture, and humanities",990EZ,2018,537,539,12554,7446
WART,200067510.000000,WOMENEXPLORE LECTURE AND DISCUSSION FORUM INC,"01) Arts, culture, and humanities",990EZ,2018,1336,7613,6633,20920
"WHLTH,WART",822041951.000000,CAROLS CORNER FOUNDATION,"01) Arts, culture, and humanities",990EZ,2018,0,10382,10340,10011
WART,42691505.000000,WOMEN MILITARY AVIATORS INC,"01) Arts, culture, and humanities",990EZ,2018,5103,12360,10843,105211
GEN,30058942.000000,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BETTY ALLEN DAR,"01) Arts, culture, and humanities",990,2018,9985,22250,37640,25792
WSNW,46541215.000000,CAPE ANN CHAPTER OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TR SUSAN M HERRON ET AL CO TTEES,"01) Arts, culture, and humanities",990,2018,0,27031,24247,636494
WSNW,46112824.000000,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONEL TIMOTHY BIGELOW DAR,"01) Arts, culture, and humanities",990,2018,21586,32566,26690,1147470
WART,43492739.000000,PHYLLIS VECCHIA CREATIVE DRAMATICS INC,"01) Arts, culture, and humanities",990EZ,2018,22500,32659,32566,1198
WART,133190926.000000,JOURNAL OF FEMINIST STUDIES IN RELIGION INC,"01) Arts, culture, and humanities",990EZ,2018,458,36809,76631,261181
WART,900717463.000000,RADCLIFFE CHORAL SOCIETY FOUNDATION RCSF,"01) Arts, culture, and humanities",990EZ,2018,45769,48838,25039,236969
WART,42943746.000000,SWEDISH WOMENS EDUCATIONAL ASSOCIATION BOSTON,"01) Arts, culture, and humanities",990EZ,2018,836,49223,36694,293087
WART,651301410.000000,THE CONCORD WOMENS CHORUS INC,"01) Arts, culture, and humanities",990EZ,2018,27605,60433,66324,47114
WART,42650764.000000,RADCLIFFE CHORAL SOCIETY INC HOLDEN CHAPEL,"01) Arts, culture, and humanities",990EZ,2018,44196,68603,68615,56134
GEN,261301703.000000,SUSAN B ANTHONY BIRTHPLACE MUSEUM INC,"01) Arts, culture, and humanities",990,2018,4237,68862,160641,1256042
WART,43198788.000000,LA DONNA MUSICALE INC,"01) Arts, culture, and humanities",990EZ,2018,63280,78926,79738,85935
WART,201440761.000000,CAPPELLA CLAUSURA INC,"01) Arts, culture, and humanities",990EZ,2018,84411,106103,99695,31926
WART,510170342.000000,SWEET ADELINES INTERNATIONAL NORTH ATLANTIC REGION 1,"01) Arts, culture, and humanities",990EZ,2018,2475,124399,107316,97786
GEN,46109477.000000,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MASSACHUSETTS STATE SOCIETY DAR,"01) Arts, culture, and humanities",990EZ,2018,9096,159335,111195,400002
WART,462011318.000000,LORELEI ENSEMBLE INC,"01) Arts, culture, and humanities",990EZ,2018,47660,185578,161365,44612
WART,43286531.000000,WOMEN ENCOURAGING EMPOWERMENT INC,"01) Arts, culture, and humanities",990EZ,2018,193118,194848,179071,115888
WART,46516086.000000,CAPTAIN FORBES HOUSE MUSEUM,"01) Arts, culture, and humanities",990,2019,134203,222892,309423,2884941
WART,271595793.000000,WAM THEATRE,"01) Arts, culture, and humanities",990,2018,170394,292599,249602,89488
WART,820639698.000000,INDIA HERITAGE FOUNDATION BOSTON,"01) Arts, culture, and humanities",990,2018,300436,325258,148384,211852
GEN,264369180.000000,CARE 2 COMMUNITIES INC,"01) Arts, culture, and humanities",990,2018,699864,886988,984371,533513
WART,43293188.000000,JEWISH WOMENS ARCHIVE INC,"01) Arts, culture, and humanities",990,2018,846837,1204876,1300448,6146836,"01) Arts, culture, and humanities",2735922
WEDUC,42321292.000000,PINE MANOR COLLEGE,02) Higher Education,990,2018,1101893,22816734.000000,23041898.000000,27005411.000000
WEDUC,42103578.000000,TRUSTEES OF MOUNT HOLYOKE COLLEGE,02) Higher Education,990,2018,37088549.000000,218076366.000000,202429541.000000,1069072820.000000
WEDUC,42103637.000000,WELLESLEY COLLEGE,02) Higher Education,990,2018,63618206.000000,269268208.000000,313573138.000000,2812442630.000000
WEDUC,41843040.000000,TRUSTEES OF THE SMITH COLLEGE,02) Higher Education,990,2018,65089180.000000,405729447.000000,315774195.000000,2647449522.000000,02) Higher Education,166897828
