"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
EIN,Name
001049015,MARSHFIELD WOMENADE INC
010163098,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 MAINE STATE SOCIETY
010199596,WOMENS BOARD OF THE MAINE MEDICAL CENTER
010211476,THE CHAPMAN HOUSE
010211507,GOOD SAMARITAN AGENCY
010211569,YWCA OF MOUNT DESERT ISLAND
010211570,YWCA CENTRAL MAINE
010211571,YOUNG WOMENS CHRISTIAN ASSOCIATION OF PORTLAND MAINE
010215917,ST MARKS HOME FOR WOMEN
010215919,JUNIOR LEAGUE OF PORTLAND MAINE INC
010269749,CONGREGATION OF THE SISTERS OF ST JOSEPH OF LYON
010269802,GIRL SCOUTS OF MAINE INC
010284115,MAIN IDEA INC
010287867,THE MAINE GIRLS ACADEMY
010288757,DOWNEAST COMMUNITY PARTNERS INC
010317679,FAMILY PLANNING ASSOCIATION OF MAINE INC
010338643,THE CASTINE WOMANS CLUB
010343943,SEXUAL ASSAULT RESPONSE SERVICES OF SOUTHERN MAINE
010344834,FRIENDSHIP FIRE DEPT WOMENS AUX
010346448,MOUNT DESERT ISLE CHAPTER OF THE NATIONAL SOCIETY OF THE DAUGHTERS
010349012,LA LECHE LEAGUE INTERNATIONAL INC LLL MAINE NEW HAMPSHIRE
010350421,GENERAL FEDERATION OF WOMENS CLUBS GFWC MAINE FEDERATION OF WOMENS CLU
010350713,MAINE GOLF HOUSE INC SOUTHERN MAINE WOMENS GOLF ASSOC SM
010351195,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC WESTERN MAINE
010351198,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC CENTRAL MAINE
010352135,MAINE MEDIA WOMEN
010352636,THROUGH THESE DOORS
010352658,SAFE VOICES
010358090,PARTNERS FOR PEACE
010358141,CARING UNLIMITED CORP
010359180,MAINE COALITION TO END DOMESTIC VIOLENCE
010360714,FAMILY VIOLENCE PROJECT
010364852,HOPE AND JUSTICE PROJECT INC
010366960,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TOPSHAM BRUNSWICK DAR
010367796,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SAMUEL GARNT MARY KELTON DUMMER DAR
010371951,MAINE GOLF HOUSE INC WOMENS MAINE STATE GOLF ASSOC WMSGA
010372806,CAMDEN WOMENS CLUB
010374072,LADIES PUBLIC IMPROVEMENT SOCIETY INC
010376014,WOMANCARE AEGIS ASSOCIATION
010377246,NEW HOPE FOR WOMEN INC
010388641,RAPE EDUCATION AND CRISIS HOTLINE
010389834,INTERNATIONAL ORDER OF THE RAINBOW GIRLS 11 MAINE GRAND ASSEMBLY
010392983,WOMENS COMMUNITY GARDEN CLUB
010420232,MAINE COALITION AGAINST SEXUAL ASSAULT
010425010,CAMP RUNOIA ALUMNAE ORGANIZATION
010428432,FIRST STEP PREGENCY RESOURCE CENTER
010430261,MAINE WOMENS FUND INC
010433356,WOMEN OF MATRIARCHAL BELIEFS ON SACRED LAND INC
010441773,RAPE RESPONSE SERVICES INC
010449148,SOCIETY OF WOMEN ENGINEERS NEW ENGLAND REGION
010449907,SAFE ABORTIONS FOR EVERYONE
010450107,SOCIETY OF WOMEN ENGINEERS MAINE SECTION
010452218,ISLAND FISHERMENS WIVES ASSOCIATION
010453808,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION RAMASSOC DAR
010460862,OPERATION INFORMATION INC
010463820,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION PENOBSCOT EXPEDITION DAR
010469832,INTERNATIONAL WOMENS CLUB OF NEW ENGLAND
010473057,CROSSROADS FOR WOMEN INC
010475640,ALPHA PREGNANCY RESOURCE CENTER
010479004,LA LECHE LEAGUE INTERNATIONAL INC LLL YORK ME NH ID 607
010482435,CUMBERLAND COUNTY DOMESTIC ABUSE INTERVENTION PROJECT OPPORTUNITY FOR CHANGE
010482508,NEXT STEP DOMESTIC VIOLENCE PROJECT
010483084,MAINE BREAST CANCER COALITION
010484023,WOMEN IN HARMONY
010495945,LA LECHE LEAGUE INTERNATIONAL INC LLL FREEPORT YARMOUTH
010499592,ABBA A WOMENS RESOURCE CENTER
010506447,LA LECHE LEAGUE INTERNATIONAL INC LLL CAMDEN ME
